cluster,language,entry_id,llm_type,prompt_version,similarity_index,fuzzy_score,cosine_score,pattern_count,patterns,base_complexity,llm_complexity,base_depth,llm_depth
flatten_deep_list,python,flatten_deep_list_160,openAI,v4,39.74,48.94,32.21,0,,3.0,4.0,7.0,9.0
flatten_deep_list,python,flatten_deep_list_160,openAI,v1,57.59,64.9,51.62,0,,3.0,4.0,7.0,8.0
flatten_deep_list,python,flatten_deep_list_160,openAI,v2,57.59,64.9,51.62,0,,3.0,4.0,7.0,8.0
flatten_deep_list,python,flatten_deep_list_160,openAI,v3,41.55,51.91,33.07,0,,3.0,4.0,7.0,9.0
flatten_deep_list,python,flatten_deep_list_160,claude,v3,56.9,63.37,51.62,0,,3.0,4.0,7.0,8.0
flatten_deep_list,python,flatten_deep_list_160,claude,v2,56.9,63.37,51.62,0,,3.0,4.0,7.0,8.0
flatten_deep_list,python,flatten_deep_list_160,claude,v1,57.19,64.0,51.62,0,,3.0,4.0,7.0,8.0
flatten_deep_list,python,flatten_deep_list_160,claude,v4,56.9,63.37,51.62,0,,3.0,4.0,7.0,8.0
flatten_deep_list,python,flatten_deep_list_160,gemini,v1,58.14,66.11,51.62,0,,3.0,4.0,7.0,8.0
flatten_deep_list,python,flatten_deep_list_160,gemini,v4,58.14,66.11,51.62,0,,3.0,4.0,7.0,8.0
flatten_deep_list,python,flatten_deep_list_160,gemini,v3,45.97,56.88,37.04,0,,3.0,3.0,7.0,8.0
flatten_deep_list,python,flatten_deep_list_160,gemini,v2,44.37,55.1,35.59,0,,3.0,3.0,7.0,8.0
robot_name,python,robot-name_31,openAI,v3,89.94,85.54,93.54,0,,4.0,5.0,8.0,10.0
robot_name,python,robot-name_31,openAI,v2,84.14,83.51,84.65,0,,4.0,5.0,8.0,10.0
robot_name,python,robot-name_31,openAI,v1,89.94,85.54,93.54,0,,4.0,5.0,8.0,10.0
robot_name,python,robot-name_31,openAI,v4,85.49,86.95,84.3,0,,4.0,5.0,8.0,10.0
robot_name,python,robot-name_31,claude,v2,97.27,95.36,98.82,0,,4.0,5.0,8.0,9.0
robot_name,python,robot-name_31,claude,v3,90.95,86.44,94.65,0,,4.0,5.0,8.0,9.0
robot_name,python,robot-name_31,claude,v4,97.27,95.36,98.82,0,,4.0,5.0,8.0,9.0
robot_name,python,robot-name_31,claude,v1,97.27,95.36,98.82,0,,4.0,5.0,8.0,9.0
robot_name,python,robot-name_31,gemini,v4,79.15,83.72,75.41,0,,4.0,5.0,8.0,10.0
robot_name,python,robot-name_31,gemini,v1,64.13,61.09,66.61,0,,4.0,6.0,8.0,11.0
robot_name,python,robot-name_31,gemini,v2,78.07,81.32,75.41,0,,4.0,5.0,8.0,10.0
robot_name,python,robot-name_31,gemini,v3,78.46,82.19,75.41,0,,4.0,5.0,8.0,10.0
robot_name,javascript,javascript_robot-name_exercism-javascript-ffflorian,openAI,v3,86.45,85.53,87.2,0,,1.0,1.0,3.0,4.0
robot_name,javascript,javascript_robot-name_exercism-javascript-ffflorian,openAI,v2,86.78,86.25,87.2,0,,1.0,1.0,3.0,4.0
robot_name,javascript,javascript_robot-name_exercism-javascript-ffflorian,openAI,v1,86.78,86.25,87.2,0,,1.0,1.0,3.0,4.0
